Ojibwe,English,Words w/ Ambiguity,Pre-disambiguation CG Output,Expected CG Output,Notes
Gaa-gigibagiziwaad mitigoog binaakwiiwag gii-ani-ishpi-dagwaagig.,The leaves fall off the trees that have them towards late fall.,"""<gii-ani-ishpi-dagwaagig>""
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0PlSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0PlSubj","""<gaa-gigibagiziwaad>""
	""gigibagizi"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<mitigoog>""
	""mitig"" NA ProxPl
""<binaakwiiwag>""
	""binaakwii"" VAI Ind Pos Neu 3PlProxSubj
""<gii-ani-ishpi-dagwaagig>""
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0PlSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0PlSubj
""<.>""
","""<gaa-gigibagiziwaad>""
	""gigibagizi"" PVSub/gaa VAI Cnj Pos Neu 3PlProxSubj
""<mitigoog>""
	""mitig"" NA ProxPl
""<binaakwiiwag>""
	""binaakwii"" VAI Ind Pos Neu 3PlProxSubj
""<gii-ani-ishpi-dagwaagig>""
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0SgSubj
	""PVDir/ani"" PVTense/gii ishpi-dagwaagin VII Cnj Pos Neu 0PlSubj
	""PVDir/ani"" PVTense/gii PVLex/ishpi dagwaagin VII Cnj Pos Neu 0PlSubj
""<.>""
",
Megwaa bimosed a'aw inini gaa-izhi-gawised.,When that man was walking he fell down.,"""<gaa-izhi-gawised>""
	""PVRel/izhi"" PVSub/gaa gawise VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/izhi"" PVTense/gii gawise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<megwaa>""
	""megwaa"" ADVTmp
""<bimosed>""
	""bimose"" VAI Cnj Pos Neu 3SgProxSubj
""<a'aw>""
	""a'aw"" PRONDem
""<inini>""
	""inini"" NA ProxSg
""<gaa-izhi-gawised>""
	""PVRel/izhi"" PVSub/gaa gawise VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/izhi"" PVTense/gii gawise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<megwaa>""
	""megwaa"" ADVTmp
""<bimosed>""
	""bimose"" VAI Cnj Pos Neu 3SgProxSubj
""<a'aw>""
	""a'aw"" PRONDem
""<inini>""
	""inini"" NA ProxSg
""<gaa-izhi-gawised>""
	""PVRel/izhi"" PVSub/gaa gawise VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/izhi"" PVTense/gii gawise VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Agaamakiing gii-izhinizha'waa ingos ji-o-miigaazod.,They sent my son overseas to go fight.,"""<gii-izhinizha'waa>""
	""izhinizha'wi"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
	""izhinizha'"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
""<ji-o-miigaazod>""
	""PVDir/o"" PVTense/daa miigaazo VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga miigaazo VAI Cnj Pos Neu 3SgProxSubj","""<agaamakiing>""
	""agaamakiing"" ADVLoc
""<gii-izhinizha'waa>""
	""izhinizha'wi"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
	""izhinizha'"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
""<ingos>""
	""gos"" NAD ProxSg 1SgPoss
""<ji-o-miigaazod>""
	""PVDir/o"" PVTense/daa miigaazo VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga miigaazo VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<agaamakiing>""
	""agaamakiing"" ADVLoc
""<gii-izhinizha'waa>""
	""izhinizha'wi"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
	""izhinizha'"" PVTense/gii VTA Ind Pos Neu XSubj 3SgProxObj
""<ingos>""
	""gos"" NAD ProxSg 1SgPoss
""<ji-o-miigaazod>""
	""PVDir/o"" PVTense/daa miigaazo VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/o"" PVTense/ga miigaazo VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gego bizikenimaaken. Mii go baapiisikaad biinish igo omaa ji-bi-dagoshing.,Don't worry about him. He's making his way over here. He'll be here in time.,"""<ji-bi-dagoshing>""
	""PVDir/bi"" PVTense/daa dagoshin VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/bi"" PVTense/ga dagoshin VAI Cnj Pos Neu 3SgProxSubj","""<gego>""
	""gego"" ADVNeg
""<bizikenimaaken>""

""<.>""

""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<baapiisikaad>""

""<biinish>""
	""biinish"" ADVGram
""<igo>""
	""igo"" PCEmph
""<omaa>""
	""omaa"" ADVLoc
""<ji-bi-dagoshing>""
	""PVDir/bi"" PVTense/daa dagoshin VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/bi"" PVTense/ga dagoshin VAI Cnj Pos Neu 3SgProxSubj
""<.>""
","""<gego>""
	""gego"" ADVNeg
""<bizikenimaaken>""

""<.>""

""<mii>""
	""mii"" ADVPred
""<go>""
	""go"" PCDisc
""<baapiisikaad>""

""<biinish>""
	""biinish"" ADVGram
""<igo>""
	""igo"" PCEmph
""<omaa>""
	""omaa"" ADVLoc
""<ji-bi-dagoshing>""
	""PVDir/bi"" PVTense/daa dagoshin VAI Cnj Pos Neu 3SgProxSubj
	""PVDir/bi"" PVTense/ga dagoshin VAI Cnj Pos Neu 3SgProxSubj
""<.>""
",
Gaawiin memwech gidaa-gagwejimisii aandi waa'-wiisiniyang. Giin igo enendaman.,You don't have to ask me where we are going to go eat. It's up to you!,"""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss","""<gaawiin>""
	""gaawiin"" ADVNeg
""<memwech>""
	""memwech"" ADVMan
""<gidaa-gagwejimisii>""
	""gagwejim"" PVTense/daa VTA Ind Neg Neu 2SgSubj 1SgObj
""<aandi>""
	""aandi"" ADVInter
""<waa'-wiisiniyang>""

""<.>""

""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss
""<igo>""
	""igo"" PCEmph
""<enendaman>""

""<.>""
","""<gaawiin>""
	""gaawiin"" ADVNeg
""<memwech>""
	""memwech"" ADVMan
""<gidaa-gagwejimisii>""
	""gagwejim"" PVTense/daa VTA Ind Neg Neu 2SgSubj 1SgObj
""<aandi>""
	""aandi"" ADVInter
""<waa'-wiisiniyang>""

""<.>""

""<giin>""
	""giin"" PRONPer
	""iiw"" NAD ObvPl 2SgPoss
	""iiw"" NAD ObvSg 2SgPoss
""<igo>""
	""igo"" PCEmph
""<enendaman>""

""<.>""
",
Gabe-onaagosh owaazakonendamowaan iniwen nenaa'idaabaanikenid.,All evening he's holding a light for the guy who's working on his car.,"""<owaazakonendamowaan>""
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj","""<gabe-onaagosh>""
	""gabe-onaagosh"" ADVTmp
""<owaazakonendamowaan>""
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<nenaa'idaabaanikenid>""

""<.>""
","""<gabe-onaagosh>""
	""gabe-onaagosh"" ADVTmp
""<owaazakonendamowaan>""
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""waazakonendamaw"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<iniwen>""
	""iniwen"" PRONDem
""<nenaa'idaabaanikenid>""

""<.>""
",
Aaba'amaw omakizineyaabiin gaa-bwaanawichiged,Untie the disabled one's shoes for her.,"""<aaba'amaw>""
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3SgProxObj
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3PlProxObj","""<aaba'amaw>""
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3SgProxObj
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3PlProxObj
""<omakizineyaabiin>""
	""makizineyaab"" NI Pl 3SgProxPoss
""<gaa-bwaanawichiged>""
	""bwaanawichige"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj","""<aaba'amaw>""
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3SgProxObj
	""aaba'amaw"" VTA Imp Sim 2SgSubj 3PlProxObj
""<omakizineyaabiin>""
	""makizineyaab"" NI Pl 3SgProxPoss
""<gaa-bwaanawichiged>""
	""bwaanawichige"" PVSub/gaa VAI Cnj Pos Neu 3SgProxSubj",
Bebangii eta gii'-ashamaawag gii-ando-wiisiniwaad iwidi gaa-dazhi-ashanding.,They each got feed only a little when they went to eat at the food shelter.,"""<gaa-dazhi-ashanding>""
	""PVRel/dazhi"" PVSub/gaa asham VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""PVRel/dazhi"" PVSub/gaa ashandiwag VAI Cnj Pos Neu XSubj XObj","""<bebangii>""
	""bebangii"" ADVQnt
""<eta>""
	""eta"" AVDDeg
""<gii'-ashamaawag>""
	""asham"" PVTense/gii' VTA Ind Pos Neu XSubj 3PlProxObj
""<gii-ando-wiisiniwaad>""
	""PVLex/ando"" PVTense/gii wiisini VAI Cnj Pos Neu 3PlProxSubj
""<iwidi>""
	""iwidi"" ADVLoc
""<gaa-dazhi-ashanding>""
	""PVRel/dazhi"" PVSub/gaa asham VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""PVRel/dazhi"" PVSub/gaa ashandiwag VAI Cnj Pos Neu XSubj XObj
""<.>""
","""<bebangii>""
	""bebangii"" ADVQnt
""<eta>""
	""eta"" AVDDeg
""<gii'-ashamaawag>""
	""asham"" PVTense/gii' VTA Ind Pos Neu XSubj 3PlProxObj
""<gii-ando-wiisiniwaad>""
	""PVLex/ando"" PVTense/gii wiisini VAI Cnj Pos Neu 3PlProxSubj
""<iwidi>""
	""iwidi"" ADVLoc
""<gaa-dazhi-ashanding>""
	""PVRel/dazhi"" PVSub/gaa asham VTA Recip/di VAI Cnj Pos Neu XSubj XObj
	""PVRel/dazhi"" PVSub/gaa ashandiwag VAI Cnj Pos Neu XSubj XObj
""<.>""
",
Obwaamaan ji-manisaagod odawemaan.,He refused to cut wood for his sister.,"""<obwaamaan>""
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-manisaagod>""
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0PlSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0PlSubj 3SgProxObj
""<odawemaan>""
	""dawemaaw"" NAD ObvPl 3SgProxPoss
	""dawemaa"" NAD ObvPl 3SgProxPoss
	""dawemaaw"" NAD ObvSg 3SgProxPoss
	""dawemaa"" NAD ObvSg 3SgProxPoss","""<obwaamaan>""
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-manisaagod>""
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0PlSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0PlSubj 3SgProxObj
""<odawemaan>""
	""dawemaaw"" NAD ObvPl 3SgProxPoss
	""dawemaa"" NAD ObvPl 3SgProxPoss
	""dawemaaw"" NAD ObvSg 3SgProxPoss
	""dawemaa"" NAD ObvSg 3SgProxPoss
""<.>""
","""<obwaamaan>""
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""bwaam"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ji-manisaagod>""
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3PlObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 3SgObvSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0SgSubj 3SgProxObj
	""manisaw"" PVTense/daa VTA Cnj Pos Neu 0PlSubj 3SgProxObj
	""manisaw"" PVTense/ga VTA Cnj Pos Neu 0PlSubj 3SgProxObj
""<odawemaan>""
	""dawemaaw"" NAD ObvPl 3SgProxPoss
	""dawemaa"" NAD ObvPl 3SgProxPoss
	""dawemaaw"" NAD ObvSg 3SgProxPoss
	""dawemaa"" NAD ObvSg 3SgProxPoss
""<.>""
",
Debinaak igo ningii-chiishada'ige.,I just swept up any old way.,"""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<igo>""
	""igo"" PCEmph
""<ningii-chiishada'ige>""
	""jiishada'ige"" PVTense/gii VAI Ind Pos Neu 1SgSubj
""<.>""
","""<debinaak>""
	""debinaw"" VTA Cnj Pos Neu 3SgProxSubj 2SgObj
	""debinaak"" ADVMan
""<igo>""
	""igo"" PCEmph
""<ningii-chiishada'ige>""
	""jiishada'ige"" PVTense/gii VAI Ind Pos Neu 1SgSubj
""<.>""
",
Gidatoon ina ziinzibaakwad imaa ginitiiming.,Do you put sugar in your tea?,"""<gidatoon>""
	""ataw"" VTA Ind Pos Neu 1SgSubj 2SgObj
	""atoono"" VAI Ind Pos Neu 2SgSubj
	""atoon"" VTI Ind Pos Neu 2SgSubj 0SgObj","""<gidatoon>""
	""ataw"" VTA Ind Pos Neu 1SgSubj 2SgObj
	""atoono"" VAI Ind Pos Neu 2SgSubj
	""atoon"" VTI Ind Pos Neu 2SgSubj 0SgObj
""<ina>""
	""ina"" PCDisc
""<ziinzibaakwad>""
	""ziinzibaakwad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<ginitiiming>""
	""nitii"" NI Poss Loc 2SgPoss
""<.>""
","""<gidatoon>""
	""ataw"" VTA Ind Pos Neu 1SgSubj 2SgObj
	""atoono"" VAI Ind Pos Neu 2SgSubj
	""atoon"" VTI Ind Pos Neu 2SgSubj 0SgObj
""<ina>""
	""ina"" PCDisc
""<ziinzibaakwad>""
	""ziinzibaakwad"" NI Sg
""<imaa>""
	""imaa"" ADVLoc
""<ginitiiming>""
	""nitii"" NI Poss Loc 2SgPoss
""<.>""
",
Mii igo ezhi-niiskikaad 'aw animosh miginaad ini makwan.,That dog's hair stood up as he barked at the bear.,"""<miginaad>""
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<makwan>""
	""makwa"" NA ObvPl
	""makwa"" NA ObvSg","""<mii>""
	""mii"" ADVPred
""<igo>""
	""igo"" PCEmph
""<ezhi-niiskikaad>""
	""niiskikaa"" PVRel/izhi VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<'aw>""
	""'aw"" PRONDem
""<animosh>""
	""animosh"" NA ProxSg
""<miginaad>""
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<ini>""

""<makwan>""
	""makwa"" NA ObvPl
	""makwa"" NA ObvSg
""<.>""
","""<mii>""
	""mii"" ADVPred
""<igo>""
	""igo"" PCEmph
""<ezhi-niiskikaad>""
	""niiskikaa"" PVRel/izhi VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<'aw>""
	""'aw"" PRONDem
""<animosh>""
	""animosh"" NA ProxSg
""<miginaad>""
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3SgObvObj
	""migizh"" VTA Cnj Pos Neu 3SgProxSubj 3PlObvObj
""<ini>""

""<makwan>""
	""makwa"" NA ObvPl
	""makwa"" NA ObvSg
""<.>""
",
Aaniin ezhiigak.,What's it like? (of cloth or paper),"""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<ezhiigak>""
	""izhiigad"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
","""<aaniin>""
	""aaniin"" PCInterj
	""aaniin"" ADVInter
""<ezhiigak>""
	""izhiigad"" VII Pcp Pos Neu 0SgSubj 0SgHead
""<.>""
",
Baapaawin 'a goon maa gibabiinzikawaaganing.,You should brush the snow off your coat.,"""<baapaawin>""
	""baapaawin"" VTA Imp Sim 2SgSubj 3SgProxObj
	""baapaawin"" VTA Imp Sim 2SgSubj 3PlProxObj","""<baapaawin>""
	""baapaawin"" VTA Imp Sim 2SgSubj 3SgProxObj
	""baapaawin"" VTA Imp Sim 2SgSubj 3PlProxObj
""<'a>""
	""'a"" PRONDem
""<goon>""
	""goon"" NA ProxSg
""<maa>""

""<gibabiinzikawaaganing>""
	""babiinzikawaagan"" NI Loc 2SgPoss
""<.>""
","""<baapaawin>""
	""baapaawin"" VTA Imp Sim 2SgSubj 3SgProxObj
	""baapaawin"" VTA Imp Sim 2SgSubj 3PlProxObj
""<'a>""
	""'a"" PRONDem
""<goon>""
	""goon"" NA ProxSg
""<maa>""

""<gibabiinzikawaaganing>""
	""babiinzikawaagan"" NI Loc 2SgPoss
""<.>""
",
Agwaawebinan gigiishka'isaanan biinji-naabikwaanensiwi-jiimaaning gaa-ategin.,Throw ashore your cut firewood that's in the boat.,"""<agwaawebinan>""
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0SgObj
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0PlObj
""<gaa-ategin>""
	""ate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ate"" PVTense/gii VII Pcp Pos Neu 0PlSubj 0PlHead","""<agwaawebinan>""
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0SgObj
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0PlObj
""<gigiishka'isaanan>""
	""giishka'isaan"" NI Pl 2SgPoss
""<biinji-naabikwaanensiwi-jiimaaning>""
	""PNLex/biinji"" naabikwaanensiwi-jiimaan NI Loc
""<gaa-ategin>""
	""ate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ate"" PVTense/gii VII Pcp Pos Neu 0PlSubj 0PlHead
""<.>""
","""<agwaawebinan>""
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0SgObj
	""agwaawebinan"" VTI Imp Sim 2SgSubj 0PlObj
""<gigiishka'isaanan>""
	""giishka'isaan"" NI Pl 2SgPoss
""<biinji-naabikwaanensiwi-jiimaaning>""
	""PNLex/biinji"" naabikwaanensiwi-jiimaan NI Loc
""<gaa-ategin>""
	""ate"" PVSub/gaa VII Cnj Pos Neu 0PlSubj
	""ate"" PVTense/gii VII Pcp Pos Neu 0PlSubj 0PlHead
""<.>""
",
Zinigojiibizh giday. Andookomaazh.,Rub your dog's belly. Check it for bugs.,"""<zinigojiibizh>""
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<andookomaazh>""
	""andookomaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""andookomaazh"" VTA Imp Sim 2SgSubj 3PlProxObj","""<zinigojiibizh>""
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<giday>""
	""day"" NAD ProxSg 2SgPoss
""<.>""

""<andookomaazh>""
	""andookomaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""andookomaazh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<.>""
","""<zinigojiibizh>""
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""zinigojiibizh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<giday>""
	""day"" NAD ProxSg 2SgPoss
""<.>""

""<andookomaazh>""
	""andookomaazh"" VTA Imp Sim 2SgSubj 3SgProxObj
	""andookomaazh"" VTA Imp Sim 2SgSubj 3PlProxObj
""<.>""
",
Mii 'i zhigwa aabito-diba'igan gaa-ako-bimwewebizod.,It's been half an hour now since we heard him go by.,"""<gaa-ako-bimwewebizod>""
	""PVRel/ako"" PVSub/gaa bimwewebizo VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/ako"" PVTense/gii bimwewebizo VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead","""<mii>""
	""mii"" ADVPred
""<'i>""

""<zhigwa>""
	""zhigwa"" ADVTmp
""<aabito-diba'igan>""

""<gaa-ako-bimwewebizod>""
	""PVRel/ako"" PVSub/gaa bimwewebizo VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/ako"" PVTense/gii bimwewebizo VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
","""<mii>""
	""mii"" ADVPred
""<'i>""

""<zhigwa>""
	""zhigwa"" ADVTmp
""<aabito-diba'igan>""

""<gaa-ako-bimwewebizod>""
	""PVRel/ako"" PVSub/gaa bimwewebizo VAI Cnj Pos Neu 3SgProxSubj
	""PVRel/ako"" PVTense/gii bimwewebizo VAI Pcp Pos Neu 3SgProxSubj 3SgProxHead
""<.>""
",
Aapiji ozaagi'aan ookomisan.,She really loves her grandma.,"""<ozaagi'aan>""
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ookomisan>""
	""ookomis"" NAD ObvPl 3SgProxPoss
	""ookomis"" NAD ObvSg 3SgProxPoss","""<aapiji>""
	""aapiji"" AVDDeg
""<ozaagi'aan>""
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ookomisan>""
	""ookomis"" NAD ObvPl 3SgProxPoss
	""ookomis"" NAD ObvSg 3SgProxPoss
""<.>""
","""<aapiji>""
	""aapiji"" AVDDeg
""<ozaagi'aan>""
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3SgObvObj
	""zaagi'"" VTA Ind Pos Neu 3SgProxSubj 3PlObvObj
""<ookomisan>""
	""ookomis"" NAD ObvPl 3SgProxPoss
	""ookomis"" NAD ObvSg 3SgProxPoss
""<.>""
",
Omashkikiikaadaan i'iw ogidig gaa-bishagisidood.,He's putting medicine on the knee he skinned.,"""<gaa-bishagisidood>""
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj","""<omashkikiikaadaan>""
	""mashkikiikaadan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<i'iw>""
	""i'iw"" PRONDem
""<ogidig>""
	""gidigw"" NID Sg 3SgProxPoss
""<gaa-bishagisidood>""
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<.>""
","""<omashkikiikaadaan>""
	""mashkikiikaadan"" VTI Ind Pos Neu 3SgProxSubj 0SgObj
""<i'iw>""
	""i'iw"" PRONDem
""<ogidig>""
	""gidigw"" NID Sg 3SgProxPoss
""<gaa-bishagisidood>""
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0SgObj
	""bishagisidoon"" PVSub/gaa VTI Cnj Pos Neu 3SgProxSubj 0PlObj
""<.>""
",
